user,use_tue_laptop,right_handed,platform,platform_version
1152,1,1,Windows,10
1153,1,1,Windows,10
1157,1,1,Windows,10
1158,1,1,Windows,10
1161,0,1,Windows,10
1163,1,1,Windows,10
1164,0,1,Windows,10
1165,1,1,Windows,10
1167,1,1,Windows,10
1170,1,1,Windows,10
1174,1,1,Windows,10
1176,1,1,Windows,10
1178,0,0,Darwin,15.6.0
1181,1,1,Windows,10
1182,1,0,Windows,10
1183,1,0,Windows,10
1184,1,1,Windows,10
1185,1,1,Windows,10
1187,1,1,Windows,10
1188,1,1,Windows,10
1190,1,1,Windows,10
1192,1,1,Windows,10
1197,0,1,Darwin,18.2.0
1200,1,1,Windows,10
1202,1,1,Windows,10
1213,1,1,Windows,10
1216,1,1,Windows,10
1218,1,1,Windows,10
1221,0,1,Windows,10
1222,1,1,Windows,10
1223,1,0,Windows,10
1225,1,0,Windows,10
1226,1,1,Windows,10
1227,1,1,Windows,10
1235,1,0,Windows,10
1236,1,0,Windows,10
1238,1,1,Windows,10
1243,0,1,Windows,10
1246,0,1,Windows,10
1249,1,1,Windows,10
1259,1,0,Windows,10
1260,1,1,Windows,10
1261,1,1,Windows,10
1263,1,1,Windows,10
1266,1,1,Windows,10
1274,1,1,Windows,10
1275,1,1,Windows,10
1281,1,1,Windows,10
1282,1,1,Windows,10
1284,1,1,Windows,10
1287,1,1,Windows,10
1288,1,1,Windows,10
1297,1,1,Windows,10
1298,0,0,Darwin,18.2.0
1304,1,1,Windows,10
1308,1,1,Windows,10
1311,1,1,Windows,10
1317,1,1,Windows,10
1318,1,0,Windows,10
1321,1,0,Windows,10
1323,1,1,Windows,10
1330,1,1,Windows,10
1334,1,1,Windows,10
1339,1,1,Windows,10
1341,1,1,Windows,10
1342,1,1,Windows,10
1348,0,1,Linux,4.14.98-1-MANJARO
1349,1,0,Windows,10
1350,0,1,Darwin,17.7.0
1353,1,1,Windows,10
1354,1,1,Windows,10
1359,1,1,Windows,10
1360,1,0,Windows,10
1363,1,1,Windows,10
1364,0,1,Darwin,18.2.0
1365,1,1,Windows,10
1369,1,1,Windows,10
1371,1,1,Windows,10
1372,1,1,Windows,10
1374,1,0,Windows,10
1375,1,1,Windows,10
1376,0,1,Windows,8.1
1378,1,1,Windows,10
1379,1,1,Windows,10
1380,0,1,Darwin,18.2.0
1381,1,1,Windows,10
1385,1,0,Windows,10
1387,1,1,Windows,10
1392,0,0,Darwin,17.7.0
1393,1,1,Windows,10
1394,1,1,Windows,10
1395,1,1,Windows,10
1405,0,1,Darwin,18.2.0
1406,1,1,Windows,10
1413,1,1,Windows,10
1417,1,1,Windows,10
1420,1,1,Windows,10
1422,1,1,Windows,10
1423,0,1,Windows,10
1427,0,1,Windows,10
1428,1,1,Windows,10
1432,1,1,Windows,10
1433,0,1,Windows,10
1434,1,0,Windows,10
1440,1,1,Windows,10
1442,1,1,Windows,10
1443,1,1,Windows,10
1444,1,1,Windows,10
1445,1,1,Windows,10
1446,0,1,Windows,10
1447,0,1,Windows,10
1457,1,1,Windows,10
1458,1,1,Windows,10
1459,1,1,Windows,10
1460,0,1,Windows,10
1463,1,1,Windows,10
1464,0,1,Windows,10
1465,0,1,Darwin,16.7.0
1469,0,1,Windows,10
1472,1,1,Windows,10
1479,1,1,Windows,10
1482,1,1,Windows,10
1484,1,1,Windows,10
1488,1,1,Windows,10
1492,0,1,Darwin,16.7.0
1493,1,1,Windows,10
1494,1,0,Windows,10
1497,1,1,Windows,10
1504,1,1,Windows,10
1506,1,1,Windows,10
1508,1,1,Windows,10
1509,1,1,Windows,10
1510,1,1,Windows,10
1513,1,1,Windows,10
1517,1,1,Windows,10
1518,1,1,Windows,10
1519,1,1,Windows,10
1522,1,1,Windows,10
1530,1,1,Windows,10
1534,0,1,Darwin,15.6.0
1537,1,1,Windows,10
1539,1,0,Windows,10
1541,1,0,Windows,10
1543,0,1,Windows,10
1547,1,1,Windows,10
1552,0,1,Windows,10
1554,1,1,Windows,10
1555,1,1,Windows,10
1557,1,1,Windows,10
1558,1,1,Windows,10
1560,1,1,Windows,10
1562,1,1,Windows,10
1563,1,0,Windows,10
1564,1,1,Windows,10
1565,0,1,Windows,10
1567,1,1,Windows,10
1571,1,1,Windows,10
1572,1,1,Windows,10
1574,1,1,Windows,10
1577,1,1,Windows,10
1578,0,1,Windows,8.1
1586,0,1,Darwin,17.7.0
1588,0,0,Darwin,18.2.0
1590,1,1,Windows,10
1593,1,1,Windows,10
1594,1,1,Windows,10
1598,0,1,Darwin,10
1608,1,0,Windows,10
1609,1,1,Windows,10
1610,1,1,Windows,10
1611,1,1,Windows,10
1612,1,1,Windows,10
1613,1,0,Windows,10
1618,0,1,Windows,10
1622,1,1,Windows,10
1625,1,1,Windows,10
1627,1,1,Windows,10
1634,0,0,Darwin,18.2.0
1635,1,1,Windows,10
1637,1,1,Windows,10
1640,0,1,Windows,10
1641,1,0,Windows,10
1644,1,1,Windows,10
1646,0,1,Windows,10
1648,1,1,Windows,10
1655,0,1,Windows,10
1656,1,1,Windows,10
1663,0,0,Windows,10
1666,1,1,Windows,10
1667,1,1,Windows,10
1668,0,1,Windows,10
1669,1,1,Windows,10
1673,0,1,Windows,10
1674,0,0,Darwin,18.2.0
1675,1,1,Windows,10
1676,1,0,Windows,10
1681,1,1,Windows,10
1682,1,1,Windows,10
1687,0,1,Windows,10
1689,1,1,Windows,10
1690,1,1,Windows,10
1691,0,0,Darwin,18.2.0
1693,1,1,Windows,10
1697,1,1,Windows,10
1699,0,1,Windows,10
1702,1,1,Windows,10
1704,1,1,Windows,10
1709,1,1,Windows,10
1722,1,1,Windows,10
1724,1,1,Windows,10
1725,1,1,Windows,10
1726,1,0,Windows,10
1731,1,1,Windows,10
1736,1,1,Windows,10
1739,1,1,Windows,10
1744,0,1,Darwin,18.0.0
1745,0,1,Windows,10
1746,1,1,Windows,10
1753,1,1,Windows,10
1754,1,1,Windows,10
1758,0,1,Darwin,10
1762,1,1,Windows,10
1764,1,1,Windows,10
1766,1,1,Windows,10
1770,0,1,Windows,10
1772,1,1,Windows,10
1773,1,1,Windows,10
1774,1,1,Windows,10
1775,1,1,Windows,10
1778,1,1,Windows,10
1781,1,1,Windows,10
1782,1,1,Windows,10
1784,1,1,Windows,10
1787,1,1,Windows,10
